Voyage No.,Avg Speed (Voyage)
01 B,12
02 B,12.2
03 B,11.23
04 B,11.97
05 B,11.26
06B,10.92
07B,12.47
08B,10.61
09B,11.85
10B,11.41
11B,11.86
12B,11.06
13B,10.17
