UTC Date & Time,Speed (KTS)
2021-09-09,10.75
2021-09-10,10.67
2021-09-11,10.58
2021-09-11,10.56
2021-10-09,8.55
2021-10-10,10.52
2021-10-11,11
2021-10-12,11.11
2021-10-13,11.71
2021-10-14,10.42
2021-10-15,10.4
2021-10-16,11.04
2021-10-17,11.29
2021-10-18,11.61
2021-10-19,11.32
2021-10-20,11.29
2021-10-21,11.29
2021-10-22,11.38
2021-10-23,11.78
2021-11-19,10.7
2021-11-20,10.71
2021-11-21,10.83
2021-11-22,13.15
2021-11-23,11.42
2021-11-24,11.42
2021-11-25,11.67
2021-11-25,10.77
2021-12-09,10
2021-12-10,10.24
2021-12-11,9.83
2021-12-12,9.79
2021-12-13,9.88
2021-12-14,9.58
2021-12-15,9.79
2021-12-16,10.33
2021-12-17,10.13
2021-12-18,9.17
2021-12-19,9.83
2021-12-20,10.33
2021-12-21,10.83
2021-12-21,10.72
2022-01-03,10.42
2022-01-04,10.33
2022-01-05,10.92
2022-01-06,10.79
2022-01-07,12.29
2022-01-08,11.71
2022-01-09,10.17
2022-01-09,11.5
2022-01-27,10
2022-01-28,10.13
2022-01-29,10.25
2022-01-30,10.21
2022-01-31,10
2022-02-01,10.25
2022-02-01,10
2022-02-03,9.77
2022-02-04,9.96
2022-02-04,10
2022-02-20,9.2
2022-02-21,10.63
2022-02-22,10.83
2022-02-23,11.08
2022-02-24,11.04
2022-02-25,11.54
2022-02-26,11.71
2022-02-27,11.29
2022-03-14,9.81
2022-03-15,10.25
2022-03-16,10.33
2022-03-17,9.79
2022-03-18,10.17
2022-03-19,10.13
2022-03-20,9.79
2022-03-21,9.74
2022-04-06,9.72
2022-04-07,10.33
2022-04-08,10.21
2022-04-09,10.54
2022-04-10,9.46
2022-04-11,9.88
2022-04-12,10.33
2022-04-13,9.75
2022-04-13,11.43
2022-04-25,10.23
2022-04-26,10.27
2022-04-27,10.13
2022-04-28,10.47
2022-04-29,10.13
2022-04-30,10.29
2022-05-01,10.17
2022-05-02,10.38
2022-05-03,10.33
2022-05-04,10.42
2022-05-05,10.46
2022-05-06,10.25
2022-05-07,9.75
2022-05-07,11.27
2022-05-23,10.5
2022-05-24,11.33
2022-05-25,11.21
2022-05-26,9.88
2022-05-27,9.96
2022-05-28,10.58
2022-05-29,10.17
2022-05-30,10
2022-06-08,10.67
2022-06-09,9.92
2022-06-10,9.57
2022-06-11,9.19
2022-06-12,9.79
2022-06-13,9.83
2022-06-14,9.71
2022-06-15,9.88
2022-06-16,10.88
2022-06-17,10.04
2022-06-18,9.29
2022-06-19,9.79
2022-06-20,9.08
2022-06-21,9.84
2022-06-27,9.83
2022-07-08,11.67
2022-07-09,9.13
2022-07-10,9.17
2022-07-11,10.54
2022-07-12,8.83
2022-07-13,9.46
2022-07-14,8.71
2022-07-15,7.21
2022-07-16,8.38
2022-07-16,9.94
