Voyage No.,Avg Speed (in Good weather)
01 L,10.8
02 L,11.4
03 L,11.3
04 L,9.9
05 L,11
06L,10.1
07L,10.9
08L,10
09L,10.18
10L,10.32
11L,10.45
12L,9.82
13L,9.3
