UTC Date & Time,TOTAL FO Consumption / 24 hrs
2021-09-09,33.84
2021-09-10,33.7
2021-09-11,34
2021-09-11,33.8
2021-10-09,38.29
2021-10-10,37.88
2021-10-11,37.9
2021-10-12,38.09
2021-10-13,37.9
2021-10-14,38.5
2021-10-15,38.5
2021-10-16,38.5
2021-10-17,38.5
2021-10-18,38.61
2021-10-19,38.49
2021-10-20,38.5
2021-10-21,38.5
2021-10-22,38.3
2021-10-23,38.4
2021-11-19,35.5
2021-11-20,36
2021-11-21,33.5
2021-11-22,36.1
2021-11-23,36.1
2021-11-24,35.9
2021-11-25,35.6
2021-11-25,36.42
2021-12-09,36.87
2021-12-10,33.79
2021-12-11,35.69
2021-12-12,35.34
2021-12-13,34.4
2021-12-14,34.5
2021-12-15,34.2
2021-12-16,38.2
2021-12-17,38.7
2021-12-18,37.5
2021-12-19,38
2021-12-20,37.4
2021-12-21,37.6
2021-12-21,36.86
2022-01-03,41.2
2022-01-04,40.2
2022-01-05,40.3
2022-01-06,39.1
2022-01-07,39.4
2022-01-08,39.2
2022-01-09,38.7
2022-01-09,36
2022-01-27,29.76
2022-01-28,31.8
2022-01-29,33.1
2022-01-30,31.9
2022-01-31,32.9
2022-02-01,30.8
2022-02-01,26.57
2022-02-03,28.06
2022-02-04,31.6
2022-02-04,31.51
2022-02-20,40.32
2022-02-21,40.5
2022-02-22,40.6
2022-02-23,40.3
2022-02-24,40
2022-02-25,40
2022-02-26,39.8
2022-02-27,39.66
2022-03-14,32.8
2022-03-15,35.8
2022-03-16,35.4
2022-03-17,35.3
2022-03-18,35.5
2022-03-19,35.1
2022-03-20,34.5
2022-03-21,34.86
2022-04-06,30.89
2022-04-07,31
2022-04-08,31
2022-04-09,31.2
2022-04-10,31.1
2022-04-11,30.7
2022-04-12,31.1
2022-04-13,31
2022-04-13,24
2022-04-25,32
2022-04-26,29.45
2022-04-27,31.51
2022-04-28,31.76
2022-04-29,31.4
2022-04-30,30.9
2022-05-01,31.1
2022-05-02,30.9
2022-05-03,30.9
2022-05-04,30.4
2022-05-05,30.2
2022-05-06,30.4
2022-05-07,33
2022-05-07,41.45
2022-05-23,35.14
2022-05-24,40.4
2022-05-25,38
2022-05-26,30.3
2022-05-27,30.2
2022-05-28,30
2022-05-29,29.2
2022-05-30,29.06
2022-06-08,31.8
2022-06-09,28.84
2022-06-10,31.05
2022-06-11,30.84
2022-06-12,30.74
2022-06-13,30.4
2022-06-14,30.6
2022-06-15,30.4
2022-06-16,31.2
2022-06-17,29
2022-06-18,29.5
2022-06-19,29.9
2022-06-20,28.8
2022-06-21,28.8
2022-06-27,32.8
2022-07-08,36
2022-07-09,33.8
2022-07-10,33.7
2022-07-11,33.8
2022-07-12,33.7
2022-07-13,33.7
2022-07-14,33.8
2022-07-15,33.9
2022-07-16,33.9
2022-07-16,41.19
