UTC Date & Time,Slip (%)
2021-09-09,18.25
2021-09-10,18.81
2021-09-11,19.24
2021-09-11,19.25
2021-10-09,37.29
2021-10-10,22.73
2021-10-11,19.39
2021-10-12,18.53
2021-10-13,14.12
2021-10-14,23.59
2021-10-15,23.65
2021-10-16,18.91
2021-10-17,17.07
2021-10-18,14.86
2021-10-19,16.85
2021-10-20,17.07
2021-10-21,17.18
2021-10-22,16.89
2021-10-23,14.41
2021-11-19,19.5
2021-11-20,19.23
2021-11-21,15.47
2021-11-22,-23.32
2021-11-23,13.26
2021-11-24,13.21
2021-11-25,11.36
2021-11-25,18.13
2021-12-09,23.98
2021-12-10,18.94
2021-12-11,24.31
2021-12-12,23.79
2021-12-13,22.4
2021-12-14,26
2021-12-15,23.58
2021-12-16,22.48
2021-12-17,24.46
2021-12-18,31.7
2021-12-19,28
2021-12-20,22.33
2021-12-21,19.2
2021-12-21,22.77
2022-01-03,22.6
2022-01-04,23.83
2022-01-05,20.58
2022-01-06,18.96
2022-01-07,8.39
2022-01-08,14.07
2022-01-09,24.2
2022-01-09,22.03
2022-01-27,22.12
2022-01-28,20.38
2022-01-29,21.15
2022-01-30,19.09
2022-01-31,23.57
2022-02-01,18.92
2022-02-01,9.97
2022-02-03,19.97
2022-02-04,21.72
2022-02-04,22.4
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-13,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,
2022-05-07,
2022-05-07,
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-26,
2022-05-27,
2022-05-28,
2022-05-29,
2022-05-30,
2022-06-08,
2022-06-09,
2022-06-10,
2022-06-11,
2022-06-12,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,
2022-06-27,
2022-07-08,
2022-07-09,
2022-07-10,
2022-07-11,
2022-07-12,
2022-07-13,
2022-07-14,
2022-07-15,
2022-07-16,
2022-07-16,
